ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster
181643,DC CORRIDOR TARGET H DC1,1790 Airline HWY,Hollister,CA,ZCTA5 95023,,,1.0,ChargePoint Network,36.834903,-121.390238,2021-01-27,CHADEMO J1772COMBO,PARKING_LOT,,False,11,0.006910272140902972,DC CORRIDOR TARGET H DC2,"Gilroy, CA, USA",24.72914197384568,True,57
181644,DC CORRIDOR TARGET H L2(1),1790 Airline HWY,Hollister,CA,ZCTA5 95023,,1.0,,ChargePoint Network,36.834784,-121.390133,2021-01-27,J1772,PARKING_LOT,,False,11,0.007518583367872141,DC CORRIDOR TARGET H L2(2),"Gilroy, CA, USA",24.745291048838972,True,57
181645,DC CORRIDOR TARGET H L2(2),1790 Airline HWY,Hollister,CA,ZCTA5 95023,,1.0,,ChargePoint Network,36.834732,-121.390079,2021-01-27,J1772,PARKING_LOT,,False,11,0.007518583367872141,DC CORRIDOR TARGET H L2(1),"Gilroy, CA, USA",24.752809632182306,True,57
182668,CH CITY HALL,416 N Franklin St,Fort Bragg,CA,ZCTA5 95437,,2.0,,ChargePoint Network,39.445727,-123.804176,2021-01-27,J1772,PARKING_LOT,,False,10,0.053715078526240044,CH NEW STATION,"Willits, CA, USA",38.739644443908844,True,12
182737,CH NEW STATION,248 E Laurel St,Fort Bragg,CA,ZCTA5 95437,,2.0,,ChargePoint Network,39.445369,-123.803756,2021-01-27,J1772,PARKING_LOT,,False,10,0.053715078526240044,CH CITY HALL,"Willits, CA, USA",38.699753073081574,True,12
183806,DC CORRIDOR KC SHOPS DC1,560 Canal St,King City,CA,ZCTA5 93930,,,1.0,ChargePoint Network,36.205346,-121.132968,2021-02-05,CHADEMO J1772COMBO,PARKING_LOT,,False,5,0.0031440041682162384,DC CORRIDOR KC SHOPS DC3,"San Simeon, CA, USA",62.37572034530849,True,66
184169,AMOR WELLNESS AMOR B2,115 W Belmont Ave,Mendota,CA,ZCTA5 93640,,2.0,,ChargePoint Network,36.750782,-120.388539,2021-02-10,J1772,CAR_DEALER,,False,11,0.005874620557826045,AMOR WELLNESS AMOR B1,"Madera, CA, USA",37.126771017157594,True,19
184170,AMOR WELLNESS AMOR A5,121 W Belmont Ave,Mendota,CA,ZCTA5 93640,,1.0,,ChargePoint Network,36.74957,-120.388712,2021-02-10,J1772,PARKING_LOT,,False,11,0.005594617508522107,AMOR WELLNESS AMOR A4,"Madera, CA, USA",37.22334276534311,True,19
184171,AMOR WELLNESS AMOR B1,115 W Belmont Ave,Mendota,CA,ZCTA5 93640,,2.0,,ChargePoint Network,36.75074,-120.388499,2021-02-10,J1772,CAR_DEALER,,False,11,0.005874620557826045,AMOR WELLNESS AMOR B2,"Madera, CA, USA",37.12691988658853,True,19
184172,AMOR WELLNESS AMOR A1,121 W Belmont Ave,Mendota,CA,ZCTA5 93640,,1.0,,ChargePoint Network,36.749486,-120.388767,2021-02-10,J1772,CAR_DEALER,,False,11,0.005708107748163594,AMOR WELLNESS AMOR A4,"Madera, CA, USA",37.23302504532114,True,19
