ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster,Area Name,Population,LandArea_SQMI,Mean Income ($),Housing Density,500K-1M,1M-1.5M,1.5M-2M,Over2M,Population to Station Ratio
168159,Amor Wellness Center,115 Belmont Ave,Mendota,CA,ZCTA5 93640,,4,,Non-Networked,36.749094,-120.386481,6/11/2020,J1772,OTHER_ENTERTAINMENT,Unknown; approximately $0.15-$0.25 per kWh,FALSE,11,0,Amor Wellness Center,"Madera, CA, USA",37.102375925587445,TRUE,58,ZCTA5 93640,13865,157.929,49907,1464,43,5,0,11,1155.4166666666667
168281,Mel's Diner - Tesla Supercharger,31 CA-88,Jackson,CA,ZCTA5 95642,,,8,Tesla,38.347998,-120.7766,11/2/2020,J1772COMBO TESLA,RESTAURANT,,FALSE,7,1.237106961756932,CP AUTO 1 HIE 1,"Ione, CA, USA",13.62371553147256,TRUE,6,ZCTA5 95642,7544,66.481,95402,1985,599,61,0,21,943
168348,DC CORRIDOR LODI SHELL L2,6437 W Banner Street,Lodi,CA,ZCTA5 95242,,2,,ChargePoint Network,38.114811,-121.394692,11/13/2020,J1772,GAS_STATION,,FALSE,19,0.002393365,DC CORRIDOR LODI SHELL DC3,"Lodi, CA, USA",9.276894833,TRUE,17,ZCTA5 95242,27341,90.87,122008,6917,3266,241,105,48,1367.05
168439,Calimesa,1004 Cherry Valley Blvd,Calimesa,CA,ZCTA5 92320,,7,,EV Connect,33.966347,-117.036216,6/16/2020,J1772,CAR_DEALER,,FALSE,15,3.4931171817376545,Burger King - Tesla Supercharger,"Redlands, CA, USA",16.743095894650242,TRUE,41,ZCTA5 92320,10036,13.954,93432,3375,721,11,0,8,627.25
168440,Mojave Air & Spaceport (Administration),1434 Flight Line,Mojave,CA,ZCTA5 93501,,2,,EV Connect,35.0562,-118.157973,9/8/2020,J1772,PARKING_LOT,,FALSE,10,1.2187944461438764,"Comfort Inn & Suites - Mojave, CA","Lancaster, CA, USA",41.07832427396234,TRUE,78,ZCTA5 93501,5772,222.01,64224,941,21,0,0,17,524.7272727272727
168465,2450 Martin Rd,2450 Martin Rd,Fairfield,CA,ZCTA5 94534,,2,,EV Connect,38.274202,-122.051044,10/6/2020,J1772,PARKING_LOT,,FALSE,53,0.207440634,"Fairfield, CA - Waterman Boulevard - Tesla Supercharger","Fairfield, CA, USA",1.8465316512383596,TRUE,4,ZCTA5 94534,42296,77.504,162507,10352,7431,1040,140,161,783.2592592592592
168515,RCEA EV NETWORK TRINIDAD 1,380 Janis Court,Trinidad,CA,ZCTA5 95570,,2,,ChargePoint Network,41.062183,-124.140991,11/17/2020,J1772,PARKING_LOT,,FALSE,2,0.4249481908346885,Trinidad Bay Bed & Breakfast - Tesla Destination,"Arcata, CA, USA",22.298320714919875,TRUE,115,ZCTA5 95570,2543,52.381,104168,835,341,54,42,17,847.6666666666666
168516,DC CORRIDOR SOUTH LAKE DC1,2012 Lake Tahoe Blvd,South Lake Tahoe,CA,ZCTA5 96150,,,1,ChargePoint Network,38.913263,-120.003719,11/17/2020,CHADEMO J1772COMBO,CAR_DEALER,,FALSE,23,0.001615089,DC CORRIDOR SOUTH LAKE L2,"South Lake Tahoe, CA, USA",2.986073868030734,TRUE,43,ZCTA5 96150,29518,163.167,119533,6959,3284,580,351,92,1229.9166666666667
168598,AutoCamp Russian River - Tesla Destination,14120 Old Cazadero Rd,Guerneville,CA,ZCTA5 95446,,2,,Tesla Destination,38.496609,-123.008915,6/6/2019,TESLA,HOTEL,Free,FALSE,5,1.0676704388087088,COUNTY SONOMA VETS GV 1,"Forestville, CA, USA",10.661898943821685,TRUE,96,ZCTA5 95446,4690,31.046,111088,1657,736,222,11,31,781.6666666666666
168676,Charles Krug Winery - Tesla Destination,2800 Main St,Saint Helena,CA,ZCTA5 94574,,1,,Non-Networked,38.518276,-122.482185,11/3/2020,J1772,BREWERY_DISTILLERY_WINERY,Free,FALSE,51,0.6087061255450404,Saint Helena Winery - Tesla Destination,"Calistoga, CA, USA",10.82620219052722,TRUE,42,ZCTA5 94574,8317,124.3,225416,2333,393,450,246,1002,159.94230769230768
168706,Corral de Tierra Country Club - Tesla Destination,81 Corral de Tierra Road,Salinas,CA,ZCTA5 93908,,1,,Tesla Destination,36.567526,-121.730886,5/14/2014,TESLA,REC_SPORTS_FACILITY,Free,FALSE,14,6.638080042429088,MBUAPCD MBUAPCD 1,"Seaside, CA, USA",11.281928015726312,TRUE,21,ZCTA5 93908,13188,240.95,209627,3619,1807,1203,194,185,879.2
