ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster,Area Name,Population,LandArea_SQMI,Mean Income ($),Housing Density,500K-1M,1M-1.5M,1.5M-2M,Over2M,Population to Station Ratio
165194,NHC LEMOORE 01,334 W D St,Lemoore,CA,ZCTA5 93245,,2,,ChargePoint Network,36.302126,-119.786016,8/13/2020,J1772,PARKING_LOT,,FALSE,4,0.6112785424273915,DC CORRIDOR LEMOORE DC,"Tulare, CA, USA",40.71142631338528,TRUE,62,ZCTA5 93245,38045,118.892,90484,5802,466,55,0,32,7609
165278,Yorba Canyon Center,21480 Yorba Linda Blvd.,Yorba Linda,CA,ZCTA5 92887,,1,3,Electrify America,33.8778,-117.75102,8/15/2020,J1772 J1772COMBO,PARKING_LOT,,FALSE,46,0.1408830752280334,WC ACURA CPE250-1,"Yorba Linda, CA, USA",5.866997825441055,TRUE,0,ZCTA5 92887,20770,11.285,201548,6023,2374,2385,577,278,441.9148936170213
165415,Desert Hills Premium Outlets,48400 Seminole Dr.,Cabazon,CA,ZCTA5 92230,,,4,Electrify America,33.92677,-116.8113,8/25/2020,J1772COMBO,PARKING_LOT,,FALSE,16,0.006922181,Desert Hills Premium Outlets,"Sahara, Palm Springs, CA, USA",19.27128907817004,TRUE,41,ZCTA5 92230,2650,11.677,89515,584,25,0,0,0,155.88235294117646
165551,CT D2 COLLIER ST 1,Unnamed Road,Hornbrook,CA,ZCTA5 96044,,,1,ChargePoint Network,41.85129,-122.570908,8/27/2020,CHADEMO J1772COMBO,PARKING_LOT,,FALSE,1,0.00916476,CT D2 COLLIER ST 2,"Somes Bar, CA, USA",91.94452536790664,TRUE,156,ZCTA5 96044,1015,220.613,67334,338,29,11,3,2,507.5
165552,YREKA TRUCK STATION #1,787 Montague Rd,Yreka,CA,ZCTA5 96097,,,1,ChargePoint Network,41.737495,-122.623505,8/27/2020,CHADEMO J1772COMBO,PARKING_LOT,,FALSE,5,0.003196317,YREKA TRUCK STATION #2,"Somes Bar, CA, USA",81.52930073857527,TRUE,127,ZCTA5 96097,10131,181.718,73346,2769,224,0,27,0,1688.5
165614,Town of Yucca Valley- Welcome Center,56711 Twentynine Palms Highway,Yucca Valley,CA,ZCTA5 92284,,2,,Blink Network,34.119925,-116.4266,8/28/2020,J1772,MUNI_GOV,Free,FALSE,4,1.092549729291541,"Yucca Valley, CA - Tesla Supercharger","Yucca Valley, CA, USA",0.8234855419669361,TRUE,149,ZCTA5 92284,25931,127.477,77414,7112,817,112,8,0,5186.2
165620,CT D2 COLLIER ST 2,Interstate 5 & rte 96,Hornbrook,CA,ZCTA5 96044,,,1,ChargePoint Network,41.851264,-122.571013,8/28/2020,CHADEMO J1772COMBO,PARKING_LOT,,FALSE,1,0.00916476,CT D2 COLLIER ST 1,"Somes Bar, CA, USA",91.93573242,TRUE,156,ZCTA5 96044,1015,220.613,67334,338,29,11,3,2,507.5
165623,DC CR4,1380 W 6th St,Corona,CA,ZCTA5 92882,,,1,ChargePoint Network,33.877601,-117.592357,8/28/2020,CHADEMO J1772COMBO,PARKING_LOT,,FALSE,45,0.002302112,DC CR5,"Corona, CA, USA",2.665229318288476,TRUE,0,ZCTA5 92882,67894,11.747,118811,12556,9065,281,45,65,1475.9565217391305
165642,Panoche Shell,46331 W Panoche Road,Firebaugh,CA,ZCTA5 93622,,,6,Electrify America,36.63769,-120.6256,8/28/2020,CHADEMO J1772COMBO,GAS_STATION,,FALSE,9,0.059901493,46365 West Panoche Road (US-NF8-DC8-4B),"Madera, CA, USA",61.57283782017299,TRUE,157,ZCTA5 93622,9884,455.348,50481,1286,56,5,0,16,988.4
165658,"Ultra Gas and Mart (Baker, CA)",71808 Baker Blvd,Baker,CA,ZCTA5 92309,,,12,Electrify America,35.26226,-116.0811,8/28/2020,J1772COMBO,HARDWARE_STORE,,FALSE,8,0.054749148,Baker Shell - Tesla Supercharger,"Baker, CA, USA",0.6539484640817028,TRUE,65,ZCTA5 92309,452,358.494,53409,73,7,0,0,7,50.22222222222222
165772,Hampton Inn - El Centro,598 Wake Ave,El Centro,CA,ZCTA5 92243,,8,,Non-Networked,32.771198,-115.533601,8/24/2020,J1772,HOTEL,Free,FALSE,7,0.6459608092573845,Home2 Suites by Hilton El Centro,"El Centro, CA, USA",3.6289978871221233,TRUE,71,ZCTA5 92243,49149,113.314,73027,7106,431,23,0,20,6143.625
165779,DC CORRIDOR CHIRIACO S DC1,62450 Chiriaco Rd,Indio,CA,ZCTA5 92201,,,1,ChargePoint Network,33.661123,-115.720575,8/29/2020,CHADEMO J1772COMBO,CAR_DEALER,,FALSE,3,0.002356136,DC CORRIDOR CHIRIACO S L2,"Thermal, CA, USA",39.09858676904595,TRUE,158,ZCTA5 92201,66989,16.213,79240,14440,1898,230,29,34,16747.25
166194,ENTRY STATION #1,2990 5th St,Davis,CA,ZCTA5 95618,,2,,ChargePoint Network,38.553404,-121.712299,9/4/2020,J1772,OFFICE_BLDG,,FALSE,49,1.151785434510538,TARGET T2455 STATION 5,"Woodland, CA, USA",14.887154712593029,TRUE,4,ZCTA5 95618,27472,32.13,143939,5351,3030,1149,205,108,549.44
166439,Madera,3174 Avenue 17,Madera,CA,ZCTA5 93638,,2,2,EV Connect,36.995728,-120.096541,4/18/2020,CHADEMO J1772 J1772COMBO,PARKING_LOT,,FALSE,16,0.1362739852244456,Love’s Travel Stop - Madera,"Madera, CA, USA",5.014892017,TRUE,143,ZCTA5 93638,51106,90.264,77933,6634,297,20,0,80,3006.235294117647
166634,Volare Hotel,"111 S, Avenida De La Estrella",San Clemente,CA,ZCTA5 92672,,2,1,EV Connect,33.427276,-117.611257,6/23/2014,CHADEMO J1772 J1772COMBO,HOTEL,,FALSE,26,1.6088353879465176,Rainbow Sandals,"San Clemente, CA, USA",0.076175507,TRUE,81,ZCTA5 92672,41067,35.563,155874,7652,2382,2393,1034,1374,1521
166703,Best Western Plus Villa Del Lago - Tesla Supercharger,2959 Speno Drive,Patterson,CA,ZCTA5 95363,,,8,Tesla,37.4665,-121.174442,8/31/2020,TESLA,INN,,FALSE,4,1.396776675945007,Eagle Valley,"Modesto, CA, USA",23.818652233671745,TRUE,124,ZCTA5 95363,29309,478.311,106748,5752,1498,86,0,24,5861.8
166707,Golden Hills Plaza - Tesla Supercharger,2421-2445 Golden Hill Road,Paso Robles,CA,ZCTA5 93446,,,28,Tesla,35.645545,-120.660144,8/31/2020,TESLA,SHOPPING_CENTER,,FALSE,40,0.9451566673882856,Daniels Wood Land Inc,"Paso Robles, CA, USA",1.8787605969429952,TRUE,35,ZCTA5 93446,45979,428.338,120500,11987,6902,816,146,284,1121.439024390244
166807,76 - Norco,3198 Hamner Ave,Norco,CA,ZCTA5 92860,,,2,EVGATEWAY,33.928312,-117.558425,4/30/2020,CHADEMO J1772COMBO,GAS_STATION,$0.65 per kWh + a $0.50 flat fee,FALSE,53,0.5665356070153241,NORCO CITY HALL NORCO CH-1,"Corona, CA, USA",6.896461016205082,TRUE,0,ZCTA5 92860,26376,14.127,140802,5753,4431,392,66,30,488.44444444444446
166809,Tower Market,84417 Indio Blvd,Indio,CA,ZCTA5 92201,,,2,Non-Networked,33.700776,-116.193157,6/1/2020,CHADEMO J1772COMBO,GAS_STATION,$20 per kWh,FALSE,25,2.629898680502428,CNTYOFRIVERSIDE INDIO PKG 2NDFL,"Coachella, CA, USA",2.8910504044851733,TRUE,73,ZCTA5 92201,66989,16.213,79240,14440,1898,230,29,34,2576.5
166893,MUROCJUSD STATION1,17100 Foothill Ave,North Edwards,CA,ZCTA5 93523,,2,,ChargePoint Network,35.015369,-117.826291,9/17/2020,J1772,PARKING_LOT,,FALSE,1,0.030151117,MUROCJUSD STATION 2,"Lake Los Angeles, CA, the US",44.21504077657849,TRUE,159,ZCTA5 93523,3293,37.852,81544,272,0,0,0,9,1646.5
166943,"BEAUMONT, CA NORTH STATION",600 E 6th St,Beaumont,CA,ZCTA5 92223,,,1,ChargePoint Network,33.929976,-116.974252,9/19/2020,CHADEMO J1772COMBO,CAR_DEALER,,FALSE,14,0.006048337,"BEAUMONT, CA CENTER STATION","Moreno Valley, CA, USA",23.60466829395056,TRUE,41,ZCTA5 92223,59924,44.984,114386,15451,3751,113,7,69,3994.9333333333334
